job_title,salary,company_size,company_type,company_industry,company_sector,company_revenue,salary_hourly,company_name,company_rating,state,company_age,python,SQL,excel,tableau,power_bi,math,machine_learning,statistics,presentation,reporting
Business Analyst,116833.0,1001-5000,Non-profit Organisation,"Civic, Welfare & Social Services",Non-profit & NGO,$100 to $500 million (USD),0,People,,NSW,,0,0,1,1,0,0,0,0,1,0
Financial Analyst,84971.0,501-1000,Company - Private,,,,0,SRG Limited,3.9,NSW,,0,0,1,0,0,0,0,1,1,1
ICT Business Analyst,75000.0,Unknown,Company - Private,,,,0,My Guardian - Aged and Disability Care,,NSW,,0,0,0,0,0,0,0,0,0,0
Customer Insights Analyst,115000.0,201-500,Company - Public,Internet & Web Services,Information Technology,,0,hipages,4.2,NSW,19.0,0,0,1,1,1,0,0,0,0,0
Data Analytics and Reporting Analyst,96747.0,Unknown,Company - Private,,,,0,SB Recruitment Pty Ltd,5.0,NSW,,1,0,0,1,1,1,0,1,0,1
Consultant - Organisation and Methods Analyst,85000.0,,,,,,0,Amplify Procurement,,NSW,,0,0,1,0,0,0,0,0,0,0
Marketing Data Analyst,104022.0,1-50,Company - Public,,,,0,The Leading Edge,,NSW,,0,0,0,0,0,0,0,1,1,0
Business Analyst,129023.0,201-500,Company - Public,Real Estate,Real Estate,,0,Dexus,3.4,NSW,39.0,0,0,0,0,0,0,0,0,0,0
"Analyst, Structured Finance Ratings, Sydney",81320.0,1001-5000,Subsidiary or Business Segment,Research & Development,Management & Consulting,$100 to $500 million (USD),0,Fitch Ratings,4.0,NSW,110.0,0,0,1,0,0,0,0,0,0,1
Commercial Finance Analyst,99481.0,501-1000,Company - Private,Catering & Food Service Contractors,Restaurants & Food Service,$25 to $50 million (USD),0,Trippas White Group,2.9,NSW,,0,0,1,0,1,0,0,0,1,1
Business Analyst,127703.0,1001-5000,Government,National Services & Agencies,Government & Public Administration,,0,Health System Support Group,3.6,NSW,,0,1,1,0,0,0,0,0,0,0
BUSINESS INTELLIGENCE ANALYST,15900.0,>10000,College / University,,,,0,Sydney Catholic Schools,3.5,NSW,,1,1,1,1,0,0,0,1,0,1
Senior Analyst - Insights Analytics,94868.0,>10000,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),0,Commonwealth Bank,3.9,NSW,112.0,1,1,1,1,0,0,0,0,0,0
Business Analyst,114018.0,>10000,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),0,Commonwealth Bank,3.9,NSW,112.0,0,0,1,0,0,0,0,0,0,0
Senior Data Analyst (MySQL) - Remote work or the office!,103235.0,1-50,Company - Private,HR Consulting,Human Resources & Staffing,,0,The Recruitment Company,4.9,NSW,23.0,0,1,1,1,1,0,0,0,0,0
Sales Operations Analyst,61628.0,1001-5000,Company - Public,Computer Hardware Development,Information Technology,$100 to $500 million (USD),0,SPS COMMERCE,4.2,NSW,41.0,0,0,1,0,0,0,0,0,0,1
APAC FP&A Analyst,145945.0,>10000,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD),0,BRP,4.0,NSW,86.0,1,1,1,1,1,1,0,0,0,1
Technical Business Analyst,108167.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),0,Macquarie Group Limited,4.0,NSW,54.0,0,0,0,0,0,0,0,0,0,1
Technical Business Analyst,89325.0,>10000,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD),0,Amadeus,4.0,NSW,36.0,0,0,0,0,0,0,0,0,0,0
Business Analyst - Infrastructure,150133.0,1001-5000,Company - Private,Stock Exchanges,Finance,,0,Susquehanna International Group,4.1,NSW,36.0,0,0,0,0,0,0,0,0,0,0
ICT Business Analyst,102701.0,Unknown,Company - Private,,,,0,BAR,3605.0,NSW,,0,0,0,0,0,0,0,0,0,0
Product Support Analyst,83850.0,201-500,Company - Private,Software Development,Information Technology,$25 to $50 million (USD),0,Akeneo,4.6,NSW,10.0,0,0,0,0,0,0,0,0,1,0
Junior Business Analyst and Compliance Officer,90139.0,51-200,Company - Private,,,,0,Efiniti Telecommunications Services,3.2,NSW,,0,0,0,0,0,0,0,0,1,1
Reporting Analyst,88680.0,>10000,Company - Public,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$5 to $10 billion (USD),0,Downer Group,3.3,NSW,90.0,1,1,0,0,1,0,1,0,0,1
APS6 Business Analyst,93684.0,1001-5000,Company - Private,HR Consulting,Human Resources & Staffing,$2 to $5 billion (USD),0,Chandler Macleod,3.6,NSW,64.0,0,1,1,1,0,0,0,1,0,1
Vendor Contract Analyst (IT Contracts Manager),123935.0,1001-5000,Company - Private,Broadcast Media,Media & Communication,$2 to $5 billion (USD),0,Nine,3.8,NSW,19.0,0,1,1,1,1,0,0,0,0,1
Business Analyst - Cappitech Trade and Transaction Regulatory Reporting,154919.0,>10000,Company - Public,Research & Development,Management & Consulting,$10+ billion (USD),0,S&P Global,4.1,NSW,163.0,0,0,1,0,0,0,0,0,0,1
POS/CB Analyst for ANZ (New Healthcare Company),112472.0,>10000,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),0,3M,3.7,NSW,121.0,0,0,1,0,0,0,0,0,0,1
Senior Business Analyst - Data,106066.0,Unknown,Company - Public,,,,0,Rest,,NSW,,0,1,1,0,0,0,0,0,1,1
"Senior Data Analyst, SBS On Demand",85592.0,1001-5000,Company - Private,Broadcast Media,Media & Communication,,0,SBS,3.9,NSW,48.0,1,1,0,1,0,0,0,1,0,1
Spatial Data Analyst - Graduate Opportunity,104022.0,1-50,Company - Private,,,,0,Ever Better Recruitment (EBR),2.1,NSW,,0,0,0,0,0,0,0,1,0,0
Cost Analyst,100075.0,1001-5000,Company - Public,Computer Hardware Development,Information Technology,$100 to $500 million (USD),0,WiseTech Global,4.2,NSW,29.0,0,0,1,0,0,0,0,0,1,0
