job_title,salary,company_size,company_type,company_industry,company_sector,company_revenue,company_name,company_rating,state,python,SQL,excel,tableau,power_bi,math,machine_learning,statistics,presentation,reporting,company_age,senior
Business Analyst,114018.0,>10000,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD),Commonwealth Bank,3.9,NSW,0,0,1,0,0,0,0,0,0,0,112.0,0
Senior Data Analyst (MySQL) - Remote work or the office!,103235.0,1-50,Company - Private,HR Consulting,Human Resources & Staffing,,The Recruitment Company,4.9,NSW,0,1,1,1,1,0,0,0,0,0,23.0,1
Sales Operations Analyst,61628.0,1001-5000,Company - Public,Computer Hardware Development,Information Technology,$100 to $500 million (USD),SPS COMMERCE,4.2,NSW,0,0,1,0,0,0,0,0,0,1,41.0,0
APAC FP&A Analyst,145945.0,>10000,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD),BRP,4.0,NSW,1,1,1,1,1,1,0,0,0,1,86.0,0
Technical Business Analyst,108167.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),Macquarie Group Limited,4.0,NSW,0,0,0,0,0,0,0,0,0,1,54.0,0
Technical Business Analyst,89325.0,>10000,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD),Amadeus,4.0,NSW,0,0,0,0,0,0,0,0,0,0,36.0,0
Business Analyst - Infrastructure,150133.0,1001-5000,Company - Private,Stock Exchanges,Finance,,Susquehanna International Group,4.1,NSW,0,0,0,0,0,0,0,0,0,0,36.0,0
ICT Business Analyst,102701.0,,Company - Private,,,,BAR360,5.0,NSW,0,0,0,0,0,0,0,0,0,0,,0
Product Support Analyst,83850.0,201-500,Company - Private,Software Development,Information Technology,$25 to $50 million (USD),Akeneo,4.6,NSW,0,0,0,0,0,0,0,0,1,0,10.0,0
Junior Business Analyst and Compliance Officer,90139.0,51-200,Company - Private,,,,Efiniti Telecommunications Services,3.2,NSW,0,0,0,0,0,0,0,0,1,1,,0
Reporting Analyst,88680.0,>10000,Company - Public,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$5 to $10 billion (USD),Downer Group,3.3,NSW,1,1,0,0,1,0,1,0,0,1,90.0,0
APS6 Business Analyst,93684.0,1001-5000,Company - Private,HR Consulting,Human Resources & Staffing,$2 to $5 billion (USD),Chandler Macleod,3.6,NSW,0,1,1,1,0,0,0,1,0,1,64.0,0
Vendor Contract Analyst (IT Contracts Manager),123935.0,1001-5000,Company - Private,Broadcast Media,Media & Communication,$2 to $5 billion (USD),Nine,3.8,NSW,0,1,1,1,1,0,0,0,0,1,19.0,0
Business Analyst - Cappitech Trade and Transaction Regulatory Reporting,154919.0,>10000,Company - Public,Research & Development,Management & Consulting,$10+ billion (USD),S&P Global,4.1,NSW,0,0,1,0,0,0,0,0,0,1,163.0,0
POS/CB Analyst for ANZ (New Healthcare Company),112472.0,>10000,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),3M,3.7,NSW,0,0,1,0,0,0,0,0,0,1,121.0,0
